"smartphone_fk","stockage","dimension","prix","autonomie","marque","os","poids","ecran","puce","facture_fk","client_fk"
"Galaxy S24","128/256 Go","70,6 x 147 x 7,6 mm","699,00/759,00 €","29 heure","Samsung","Android","168g","6,2","Snapdragon 8 Gen 3",NULL,NULL
"Galaxy S24 +","256/512 Go ","162,3 x 79,0 x 8,6 mm","699,00/759,00 €","31 heure","Samsung","Android","196g","6,2 / 6,7","Snapdragon 8 Gen 3 ",NULL,NULL
"Galaxy S24 Ultra","256/512/1000 Go","162.3 x 79.0 x 8.6 mm","1472,05/1592,05/1832,05 €","30 heure","Samsung","Android","232g","6,8","Snapdragon 8 Gen 3",NULL,NULL
"Galaxy S25","128/256/512 Go","146,9 x 70,5 x 7,2 mm","902,05/962,05/1082,05 €","29 heure","Samsung","Android","162g","6,2","Snapdragon 8 Gen 4",NULL,NULL
"Galaxy S25 +","256/512 Go","158,44 x 75,79 x 7,35","1172,05/1292,05 €","30 heure","Samsung","Android","190g","6,2","Snapdragon 8 Elite",NULL,NULL
"Galaxy S25 Ultra","256 / 512 Go / 1 To","162,8 x 77,6 x 8,2 mm","1472,05/1592,05/1832,05 €","31 heure","Samsung","Android","218g","6,9","Snapdragon 8 Elite",NULL,NULL
"Galaxy Z Flip 6","256/512 Go ","165,1 x 71,9 x 6,9 mm","1002,05/1122,05 €","23 heure","Samsung","Android","187g","6,7","Snapdragon 8 Gen 2 chipset",NULL,NULL
"Galaxy Z Fold 6","256/512 Go ","153,5 x 132,6 x 5,6 mm","1499,00/1922,05 €","23 heure ","Samsung","Android","239g","7,6","Snapdragon 8 Gen 3 chipset",NULL,NULL
"Iphone 15","128 / 256 / 512 Go","147,6mm / 71,6mm"," 969/1099/1349 € "," 20 heure ","Apple"," IOS ","171g","6,1","A16 Bionic",NULL,NULL
"Iphone 15 Plus","128 / 256 / 512 Go","160,9mm / 77,8mm"," 969/1099/1349 € "," 26 heure ","Apple"," IOS ","201g","6,7","A16 Bionic",NULL,NULL
"Iphone 15 Pro","128 / 256 / 512 Go / 1 To","146,6mm / 70,6mm"," 969/1099/1349 € "," 23 heure  ","Apple"," IOS ","187g","6,1","A17 Pro",NULL,NULL
"Iphone 15 Pro Max","256 / 512 Go / 1 To","159,9mm / 76,7mm"," 969/1099/1349 € "," 29 heure ","Apple"," IOS ","221g","6,7","A17 Pro",NULL,NULL
"Iphone 16","128 / 256 / 512 Go","147,6mm / 71,6mm"," 969/1099/1349 € "," 22 heure ","Apple"," IOS ","170g","6,1","A18",NULL,NULL
"Iphone 16 Plus","128 / 256 / 512 Go","160,9mm / 77,8 mm"," 969/1099/1349 € "," 27 heure ","Apple"," IOS ","199g","6,7","A18",NULL,NULL
